,steamid,appid,playtime_forever
622,76561198067832559,844870,91
623,76561198067832559,544920,700
624,76561198067832559,874240,83
625,76561198067832559,611500,261
626,76561198067832559,881100,294
627,76561198067832559,892970,6999
628,76561198067832559,714010,49
629,76561198067832559,897030,0
630,76561198067832559,918570,51
631,76561198067832559,412020,0
632,76561198067832559,1449560,0
633,76561198067832559,945360,3014
634,76561198067832559,951940,0
635,76561198067832559,960910,586
636,76561198067832559,969680,14
637,76561198067832559,703880,0
638,76561198067832559,35140,781
639,76561198067832559,200260,662
640,76561198067832559,208650,1000
641,76561198067832559,524220,86
642,76561198067832559,1055540,106
643,76561198067832559,1057240,97
644,76561198067832559,418460,0
645,76561198067832559,737230,0
646,76561198067832559,761890,21
647,76561198067832559,1091500,1926
648,76561198067832559,1046930,3308
649,76561198067832559,1106750,252
650,76561198067832559,285900,242
651,76561198067832559,374280,346
652,76561198067832559,1085660,1376
653,76561198067832559,1172470,10720
654,76561198067832559,1172620,1710
655,76561198067832559,1183940,493
656,76561198067832559,1145360,726
657,76561198067832559,489520,10
658,76561198067832559,1238840,706
659,76561198067832559,1238860,378
660,76561198067832559,1245620,4220
661,76561198067832559,442070,0
662,76561198067832559,203160,0
663,76561198067832559,289690,0
664,76561198067832559,1281930,47
665,76561198067832559,406970,0
666,76561198067832559,1313860,3145
667,76561198067832559,1390350,126
668,76561198067832559,1399780,98
669,76561198067832559,1238810,122
670,76561198067832559,113200,25
671,76561198067832559,1180660,0
672,76561198067832559,1517290,1734
673,76561198067832559,1638720,0
674,76561198067832559,424840,0
675,76561198067832559,297130,0
676,76561198067832559,1551360,3098
677,76561198067832559,461040,2
678,76561198067832559,241930,223
679,76561198067832559,356190,0
680,76561198067832559,204450,0
681,76561198074247705,320,3155
682,76561198074247705,4000,10398
683,76561198074247705,105600,4447
684,76561198074247705,218230,0
685,76561198074247705,1083500,0
686,76561198074247705,236390,0
687,76561198074247705,252950,80828
688,76561198074247705,263440,502
689,76561198074247705,265930,490
690,76561198074247705,301520,0
691,76561198074247705,304930,66
692,76561198074247705,205790,0
693,76561198074247705,730,117435
694,76561198074247705,219740,69
695,76561198074247705,322330,348
696,76561198074247705,431240,1942
697,76561198074247705,431960,2708
698,76561198074247705,444640,293
699,76561198074247705,962730,18230
700,76561198077671905,10,6559
701,76561198077671905,80,2
702,76561198077671905,100,0
703,76561198077671905,240,23186
704,76561198077671905,300,13
705,76561198077671905,320,36
706,76561198077671905,340,11
707,76561198077671905,730,180060
708,76561198077671905,205790,0
709,76561198077671905,109600,0
710,76561198077671905,230410,74
711,76561198077671905,214420,1
712,76561198077671905,3910,5
713,76561198077671905,265380,6
714,76561198077671905,267960,2
715,76561198077671905,550,304
716,76561198077671905,273110,11
717,76561198077671905,282660,1107
718,76561198077671905,283290,0
719,76561198077671905,304930,199
720,76561198077671905,200110,0
721,76561198077671905,238320,123
722,76561198077671905,331470,80
723,76561198077671905,364270,2
724,76561198077671905,413850,0
